Day,Start Time,End Time,Duration
M,08:59,09:54,1.0
M,10:04,10:59,1.0
M,11:09,12:04,1.0
W,08:59,09:54,1.0
W,10:04,10:59,1.0
W,11:09,12:04,1.0
F,08:59,09:54,1.0
F,10:04,10:59,1.0
F,11:09,12:04,1.0
W,13:04,14:24,1.5
W,14:34,15:54,1.5
W,16:04,17:24,1.5
W,13:04,14:24,1.5
W,14:34,15:54,1.5
W,16:04,17:24,1.5
R,08:59,10:19,1.5
R,10:29,11:49,1.5
R,11:59,13:19,1.5
R,13:29,14:49,1.5
R,14:59,16:19,1.5
R,16:29,17:49,1.5
R,08:59,10:19,1.5
R,10:29,11:49,1.5
R,11:59,13:19,1.5
R,13:29,14:49,1.5
R,14:59,16:19,1.5
R,16:29,17:49,1.5