,Class #,Subject,Cat#,Sect#,Course Name,Crdt,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Room #
,,,,,COMPUTING,,,,,,,,
,,GCIS,123,,Software Dev & ProbSolv_I,4,,TBD,,,,,E-218
,,GCIS,123,,Software Dev & ProbSolv_I,4,,Ovaz,,,,,D-112
,,GCIS,123,,Software Dev & ProbSolv_I,4,,Saadeh,,,,,D-316
,,GCIS,123,,Software Dev & ProbSolv_I,4,,TBD,,,,,D-316
,,GCIS,123,,Software Dev & ProbSolv_I,4,,TBD,,,,,D-316
2,,NSSA,221,,Systems Administration I,3,,Raza,25,,,,D-207
,,"""","""",600L,Systems Administration I Lab,,2,Raza,,,,,D-316
2,,NSSA,221,,Systems Administration I,3,,Raza,25,,,,D-207
,,"""","""",601L,Systems Administration I Lab,,2,Raza,,,,,D-316
2,,NSSA,241,,Intro Routing & Switching,3,,Raza,,,,,D-313 + D316
,,"""",241,600L,Intro Routing & Switching Lab,,,Raza,,,,,D-313 + D316
2,,NSSA,241,,Intro Routing & Switching,,,Raza,25,,,,D-313
,,"""",241,601L,Intro Routing & Switching Lab,,2,Raza,,,,,D-313
Sftwr Engnr Minor,,SWEN,261,,Intro to Software Engineering,3,3,TBD,,,,,
,,,,,BS COMPUTING SECURITY,,,,,,,,
,,CSEC,99,,Coop Education Seminar,0,1,TBD,,,,,D-207
,,CSEC,99,,Coop Education Seminar,0,1,Al Hussaeni,,,TBD,TBD,TBD
"1,GE",,CSEC,140,,Introduction to Cybersecurity,3,,Ovaz,,,,,D-107
,,CSEC,140,,Introduction to Cybersecurity,3,,Ovaz,,,,,D-207
Adv Opt,,CSEC,461,,Computer System Security,3,,Almobaideen,,,,,D-114
Adv Opt,,CSEC,461,60L1,Computer System Security Lab,,,Almobaideen,,,,,D-316
2,,CSEC,201,,Programming for Information Security,3,,Saadeh,,,,,
2,,CSEC,201,,Programming for Information Security,3,,Saadeh,,,,,
2,,CSCI,462,,Introduction to cryptograhpy,3,,Almobaideen,,,,,D-107
,,CSCI,532,,Introduction to Intelligent Security Systems,3,,TBD,,,,,
Adv Opt,,CSEC,471,,Penetration Testing,3,,Ovaz,,,,,D-316
,,PUBL,363,,Cyber Policy and Law,3,,Almobaideen,,,,,D-114
Adv Opt,,CSEC,468,,Risk Management for Information Security,3,,Al Hussaeni,,,,,D-113
,,CSEC,490,,Capstone in Csec,3,,Ovaz,,,,,D-212
,,CSEC,499,,Csec Coop,0,0,Almobaideen,,,,,D-113
,,CSEC,499,,Csec Coop,0,0,Al Hussaeni,,,,,
,,,,,BS CIT,,,,,,,,
,,ISTE,99,,IST 2nd Year Seminar,0,1,TBD,,,,,E-103
,,ISTE,99,,IST 2nd Year Seminar,0,1,Almobaideen,,,TBD,TBD,TBD
2,,ISTE,140,,Web & Mobile I,3,3,Abdul-Latif,,,,,
2,,ISTE,140,,Web & Mobile I,3,3,Abdul-Latif,,,,,
3/4 CIT,,ISTE,260,,Designing the User Experience,3,3,Al Hussaeni,,,,,D-207
04-Mar,,ISTE,430,,Information Requirement Modeling,3,3,Al Hussaeni,,,,,D-107
,,ISTE,499,,ISTE Coop,,,Almobaideen,,,TBD,TBD,
4,,ISTE,500,,CIT Senior Devel Project I,3,3,Raza,,,,,C-108
,,NSSA,102,,Comp System Concepts,3,,Al Dalaien,,,,,
,,NSSA,102,60L1,Comp System Concepts Lab,0,,Al Dalaien,,,,,
,,NSSA,102,,Comp System Concepts,3,,Al Dalaien,,,,,
,,NSSA,102,60L2,Comp System Concepts Lab,0,,Al Dalaien,,,,,
,,NSSA,242,,Wireless Networking,3,,TBD,30?,,,,
,,NSSA,242,600L,Wireless Networking Lab,0,,TBD,30?,,,,
,,NSSA,102,60L1,Comp System Concepts Lab,0,,Al Dalaien,,,,,
3/4 Conc,,NSSA,370,,Project Management,3,30,Zilora,,,,,
2,,NSSA,220,,Task Automation,3,3,Almobaideen,,,,,D-114
3/4 Conc,,NSSA,244,,Virtualization,3,3,Raza,,,,,D-114
,,NSSA,443,,Network Design and Performance,3,3,TBD,30?,,,,
,,,,,MATH/SCIENCE,,,,,,,,
,,ACSC,80,600,Core Physics Concepts,0,,Ahmad,30,TR,,,D-207
,,BIOG,140,600,Cell & Molecular Biology for Engnrs I,3,,Amawi,15,MW,11:10 AM,,
,,"""","""",60L1,Cell & Molecular Biology for Engnrs I Lab,0,,Mohsin,15,M,1:05 PM,,
"SciPrin (Bus,ME), LabSci(CSec)",,BIOL,101,600,Gen Biology I,3,,Mohsen,30,MW,10:05 AM,,C-107
"SciPrin (Bus,ME), LabSci(CSec)",,BIOL,101,,Gen Biology I,3,,Mohsen,30,UTR,1:05,,C-107
,,BIOL,102,,Gen Biology II,3,,TBD,30,TR,9:00 AM,,
"SciPrin, LabSci (CSec)",,BIOL,103,,Gen Biology I Lab,1,,Mohsen,15,W,1:05 PM,,B-107
"EE, IE, SciPrin (Bus,ME), LabSci(CSec)",,CHMG,141,,General and Analytical Chemistry I,3,,Amawi,30,TR,,,C-209
,,CHMG,141,60R1,General and Analytical Chemistry I recitation,0,,Amawi,30,W,,,C-109
"EE, IE, SciPrin (Bus,ME), LabSci(CSec)",,CHMG,141,,General and Analytical Chemistry I,3,,Ashmawy,30,TR,,,C-209
,,CHMG,141,60R2,General and Analytical Chemistry I recitation,0,,Ashmawy,30,T,,,C-109
"SciPrin (ME), LabSci(CSec)",,CHMG,142,,General and Analytical Chemistry II,3,,Amawi,30,TR,,,
,,CHMG,145,600,General and Analytical Chemistry I Lab,1,3,,30,R,,,
0,,MATH,90,600,Algebra,0,,Naghshineh,30,OL,OL,OL,Online
1,,MATH,101,,College Algbera,3,3,Naghshineh,30,TR,,,E-217
1,,MATH,101,,College Algbera,3,3,Naghshineh,30,TR,,,E-217
"1 ME, EE, Csec",,MATH,111,,Precalculus,3,,Sayyad,30,TR,9:00 AM,,E-114
,,"""","""",60R1,Precalculus Recitation,,,Sayyad,,T,,,C209
"1 ME, EE, Csec",,MATH,111,,Precalculus,3,,Sayyad,30,TR,10:30 AM,,E-114
,,"""","""",60R2,Precalculus Recitation,3,,Sayyad,,R,12:00 AM,,D-107
,,MATH,111,,Precalculus,,,Hasib,30,MW,,,E-103
,,"""","""",60R3,Precalculus Recitation,,,Hasib,,M,,,
"Bus, CIT",,MATH,161,,Applied Calculus,4,,Naghshineh,30,MW,9:00 AM,,C-108
"Bus, CIT",,MATH,161,,Applied Calculus,4,,Naghshineh,30,MW,1:05 PM,,B-210
,,MATH,161,,Applied Calculus (begin Week of Sept 5th),4,,Savara,30,TR,,,D-207
"1 ME, EE, Csec",,MATH,181,,Calculus I,4,,Sayyad,30,MW,10:05 AM,,C-210
,,"""","""","""",Recitation,,,,,MW,9:00 AM,,
"1 ME, EE, Csec",,MATH,181,,Calculus I,4,,Salam,30,MW,1:05 PM,,B-004
,,"""","""","""",Recitation,,,,,MW,,,
"1 ME, EE, Csec",,MATH,181,602,Calculus I (begin Week of Sept 5th),4,,Salam,30,MW,,,C-210
,,"""","""","""",Recitation,,,,,MW,,,
"2 ME, EE, Csec",,MATH,182,600,Calculus II (begin Week of Sept 5th),4,,Borghol,30,MW,1:05 PM,,B-211
,,"""","""","""",Recitation,,,,,F,10:05 AM,,
"2 ME, EE, Csec",,MATH,182,601,Calculus II,4,,Borghol,30,MW,3:15 PM,,E-103
,,"""","""","""",Recitation,,,,,MW,1:05 PM,,
2 Csec,,MATH,190,,Discrete Math for Computing,3,,Salam,30,TR,1:30 PM,,E-113
"2 ME, EE",,MATH,219,,Multivariable Calculus,3,,Maki,30,TR,12:00 AM,,C-109
"2 ME, EE",,MATH,219,,Multivariable Calculus,3,,Maki,30,TR,1:30 PM,,C-107
2 EE,,MATH,220,,Vector Calculus,1,,Maki,30,W,11:10 AM,,B-004
"2 ME,EE",,MATH,231,,Differential Equations,3,,Borghol,30,TR,9:00 AM,,E-114
"3/4 ME, EE, CSec",,MATH,241,,Linear Algebra,3,,Sayyad,30,TR,9:00 AM,,C-209
"3/4 ME, EE, CSec",,MATH,241,,Linear Algebra,3,,Sayyad,30,TR,10:30 AM,,E-114
"3/4 EE, Csec, 2 IE",,MATH,251,,Probability & Stats I,3,,Hasib,30,TR,1:30 PM,,C-107
"3/4 EE, Csec, 2 IE",,MATH,251,,Probability & Stats I,3,,Hasib,30,TR,3:00 PM,,C-107
3/4 ME,,MATH,326,,BVPs,3,,Maki,30,MW,1:05 PM,,C-107
4 EE,,MATH,381,,Complex Variables,3,,Maki,30,MW,2:35 PM,,E-114
,,PHYS,207,,Univ Phys I: AP-C Waves,1,,Salameh,30,TBD,TBD,TBD,TBD
"EE, CSec",,PHYS,211,,Univ Physics I,4,,Salameh,30,MWF,,,D-207
"ME,EE,CSec",,PHYS,212,,Univ Physics II,4,,Salameh,30,MW,,,B-211
